Commuter Rail,2,CR-Fairmount,Fairmount Line
Commuter Rail,2,CR-Fitchburg,Fitchburg/South Acton Line
Commuter Rail,2,CR-Worcester,Framingham/Worcester Line
Commuter Rail,2,CR-Franklin,Franklin Line
Commuter Rail,2,CR-Greenbush,Greenbush Line
Commuter Rail,2,CR-Haverhill,Haverhill Line
Commuter Rail,2,CR-Kingston,Kingston/Plymouth Line
Commuter Rail,2,CR-Lowell,Lowell Line
Commuter Rail,2,CR-Middleborough,Middleborough/Lakeville Line
Commuter Rail,2,CR-Needham,Needham Line
Commuter Rail,2,CR-Newburyport,Newburyport/Rockport Line
Commuter Rail,2,CR-Providence,Providence/Stoughton Line
